T_over_M,Re_psi4_22,Im_psi4_22
3.100000000000000000e+01,6.577390094576989268e-03,-4.655262161661743309e-03
3.125000000000000000e+01,6.090286876166837310e-03,-5.506741385701561728e-03
3.150000000000000000e+01,5.490241901366971385e-03,-6.304055143600128565e-03
3.175000000000000000e+01,4.783713909684694961e-03,-7.031999071012940902e-03
3.200000000000000000e+01,3.979263927344533873e-03,-7.676193934668251208e-03
3.225000000000000000e+01,3.087441147568145434e-03,-8.223381162602625902e-03
3.250000000000000000e+01,2.120626530165061179e-03,-8.661701787357046697e-03
3.275000000000000000e+01,1.092836550606192825e-03,-8.980952772527070471e-03
3.300000000000000000e+01,1.949043156268059915e-05,-9.172814945243181958e-03
3.325000000000000000e+01,-1.082854883554449288e-03,-9.231047160800842297e-03
3.350000000000000000e+01,-2.196796879506819795e-03,-9.151641947623511200e-03
3.375000000000000000e+01,-3.304400865909813776e-03,-8.932938721956648620e-03
3.400000000000000000e+01,-4.387528204314943350e-03,-8.575691659090846006e-03
3.425000000000000000e+01,-5.428172613889651124e-03,-8.083090370593714810e-03
3.450000000000000000e+01,-6.408797648671720436e-03,-7.460732589899960777e-03
3.475000000000000000e+01,-7.312668420705124850e-03,-6.716549077248138919e-03
3.500000000000000000e+01,-8.124170732803628545e-03,-5.860681922764511900e-03
3.525000000000000000e+01,-8.829110980327396774e-03,-4.905318373091927669e-03
3.550000000000000000e+01,-9.414990501544300699e-03,-3.864483243718630501e-03
3.575000000000000000e+01,-9.871248522737517336e-03,-2.753793894205523469e-03
3.600000000000000000e+01,-1.018946846702198893e-02,-1.590182602266636616e-03
3.625000000000000000e+01,-1.036354316621458486e-02,-3.915919324185739903e-04
3.650000000000000000e+01,-1.038979540946524324e-02,8.233506772434002856e-04
3.675000000000000000e+01,-1.026705124918980173e-02,2.035672407478142463e-03
3.700000000000000000e+01,-9.996664528526683080e-03,3.226401606847837007e-03
3.725000000000000000e+01,-9.582492156372563949e-03,4.376914227685885748e-03
3.750000000000000000e+01,-9.030820700651904717e-03,5.469273015330777636e-03
3.775000000000000000e+01,-8.350245880730576206e-03,6.486552517476408541e-03
3.800000000000000000e+01,-7.551507526841091424e-03,7.413143299624094275e-03
3.825000000000000000e+01,-6.647283560031275185e-03,8.235029156172189377e-03
3.850000000000000000e+01,-5.651947518463778034e-03,8.940031623585512413e-03
3.875000000000000000e+01,-4.581295034150723033e-03,9.518016818090188277e-03
